2017 Jr. Yamaha Can Race #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Zack Pretorius,6,28,3,35,5,30,0,0,1,50,0,0,3,35,0,0,5,30,1,50,6,28,2,42,3,35,4,32,395
Matthew Mockabee,0,0,4,32,3,35,2,42,3,35,0,0,7,26,0,0,3,35,6,28,4,32,4,32,4,32,1,50,379
Kaden Wharff,0,0,0,0,2,42,0,0,0,0,1,50,1,50,1,50,0,0,0,0,1,50,3,35,1,50,2,42,369
Andrew Bische,7,26,10,20,7,26,1,50,2,42,2,42,5,30,3,35,2,42,5,30,0,0,0,0,0,0,8,24,367
Jack Dorsey,0,0,0,0,4,32,8,24,6,28,4,32,2,42,2,42,1,50,0,0,4,32,1,50,18,12,DQ,DQ,344
Brennan Hanville,3,35,2,42,0,0,6,28,0,0,6,28,6,28,5,30,7,26,4,32,0,0,7,26,7,26,6,28,329
Gavin Bayliff,2,42,1,50,0,0,0,0,9,22,3,35,4,32,4,32,6,28,7,26,0,0,0,0,0,0,0,0,267
Jackson Lee,4,32,9,22,8,24,4,32,11,19,0,0,10,20,0,0,4,32,10,20,9,22,12,18,13,17,0,0,258
Blake Korth,0,0,0,0,13,17,9,22,10,20,12,18,9,22,8,24,15,15,8,24,10,20,10,20,6,28,0,0,230
Kendall Hedge,0,0,0,0,18,12,7,26,8,24,9,22,11,19,6,28,9,22,11,19,12,18,9,22,15,15,0,0,227
Hunter Peri,0,0,11,19,10,20,0,0,12,18,17,13,20,10,0,0,8,24,14,16,13,17,14,16,16,14,9,22,189
Maxine Cosat,11,19,0,0,14,16,10,20,16,14,14,16,16,14,0,0,12,18,16,14,11,19,16,14,14,16,0,0,180
James Biser,0,0,15,15,16,14,14,16,0,0,16,14,0,0,12,18,11,19,15,15,14,16,13,17,12,18,13,17,179
Timothy Steele,10,20,12,18,0,0,19,11,5,30,0,0,0,0,0,0,0,0,0,0,7,26,8,24,10,20,10,20,169
Aiden Hinds,0,0,0,0,9,22,0,0,4,32,5,30,0,0,10,20,DQ,DQ,0,0,0,0,DQ,DQ,8,24,17,13,141
Cade Pretorious,0,0,0,0,19,11,0,0,0,0,0,0,0,0,0,0,0,0,3,35,11,19,19,11,5,30,3,35,141
Caiden Young,9,22,8,24,0,0,3,35,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,15,15,120
Caden Taylor,0,0,18,12,15,15,15,15,18,12,18,12,0,0,0,0,14,16,13,17,0,0,0,0,0,0,0,0,99
Ian Hornish,5,30,6,28,0,0,0,0,21,9,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Finnegan Bayliff,1,50,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Makala Marks,8,24,21,9,0,0,5,30,17,13,0,0,0,0,0,0,DQ,DQ,0,0,0,0,0,0,0,0,0,0,76
Tyler Lemp,0,0,20,10,0,0,0,0,0,0,0,0,14,16,14,16,0,0,0,0,0,0,0,0,0,0,0,0,42
Corbin Gurley,15,15,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
